"Primary Field","Title","Work type","Year","[publisher]","[location]","Page no","Issue","Volume","Source link","[commentaries]","[work roles]","Complete","[news items]"
"A Sechuana reader: in international phonetic orthography  (1916)","A Sechuana reader: in international phonetic orthography ","Single Author|Full Length","1916","['recGjGjgDV6eLl9K6']","","","",""," - ","","['recrywckW9cZcjLva']","",""
"Voices in the Dark (1970)","Voices in the Dark","Single Author|Full Length","1970","['reckUQFcwM824zPBh']","","","",""," - ","","['reclxJEofU35cozZy']","","['rec3pN3zdI6oP8jZg']"
"Versamelde Gedigte (Collected poems) (1957)","Versamelde Gedigte (Collected poems)","Single Author|Collected Works","1957","['recQnyM4cs2WKNUE0']","['recPpOUCWKa5TQtDi']","","",""," - ","","['recpa9njuwHbRsqIH']","",""
"Rhodesian Rhymes (1909)","Rhodesian Rhymes","Single Author|Selected Works","1909","['recc8qOuJtaIXmOQs']","","","",""," - ","","['recz4jAy0MVatBcda']","",""
"Taxa (1970)","Taxa","Single Author|Selected Works","1970","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recbfnKpcoVnIdond']","",""
"Adam at Evening (1965)","Adam at Evening","Single Author|Selected Works","1965","['reciRpC86N1AiiFL2']","['recR6YHhrfthZo5tS']","","",""," - ","","['receCz46iraJMkh6x']","",""
"Enklaves van die lig (1995)","Enklaves van die lig","Single Author|Selected Works","1995","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recTNB1UsDAQCEKxa']","",""
"An Almanac of Twelve Sports (1898)","An Almanac of Twelve Sports","Single Author|Full Length","1898","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recmx62TwAnmzxPaP']","",""
"From Goré to Soweto (1988)","From Goré to Soweto","Single Author|Selected Works","1988","['recXkB5ldNP9CO8bF']","['recFjYFloIc1MhnAb']","","",""," - ","","['recpVj5tX4TUDsOwc']","",""
"Anthem of the Decades: A Zulu Epic Dedicated to the Women of Africa (1981)","Anthem of the Decades: A Zulu Epic Dedicated to the Women of Africa","Single Author|Selected Works","1981","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recBr2YZLZdtC5H4X']","",""
"Gedigte 1989–1995 (Poems) (1995)","Gedigte 1989–1995 (Poems)","Single Author|Selected Works","1995","","","","",""," - ","","['recjKBXsiD4HvTDBj']","",""
"The Runner and the Shadow (1986)","The Runner and the Shadow","Single Author|Selected Works","1986","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['recYum0F0Cyn6npxz']","",""
"Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club","Anthology","1910","['rec5orC0LALDAOhkV']","['recR6YHhrfthZo5tS']","","",""," - ","","['recMzt6JG4s38HqA9', 'recuVJk4hnK9FXE4i']","",""
"The Centenary Book of South African Verse, 1820-1925 (1925)","The Centenary Book of South African Verse, 1820-1925","Anthology","1925","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recp19mDQIZFGdsU9', 'recSsvyor5ADAOv6o']","",""
"Idanre, and Other Poems (1967)","Idanre, and Other Poems","Single Author|Selected Works","1967","['recpLUfamQkTp1CRI']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recWuqdIh6ca5WNvu']","",""
"A South African Album (1976)","A South African Album","Single Author|Selected Works","1976","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['recBemBaqOBIXyGow']","",""
"Selected Poems (1940)","Selected Poems","Single Author|Selected Works","1940","['rec3BNQcXKfIGMA7t']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec0pAMK8lG2c0fZl']","",""
"Isibusiso Sikamhawu (1994)","Isibusiso Sikamhawu","Single Author|Full Length","1994","['recJfjWxcIgl25E7h']","['recByKWBNYTnFNrCp']","","",""," - ","","['recANL8nXCJF3vxG4']","",""
"The Trial of Christopher Okigbo (1971)","The Trial of Christopher Okigbo","Single Author|Selected Works","1971","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recR76BQQ0PLzVVoJ', 'recCJUeEzNVc1tFwL', 'rec4HsefkkW5l3IVn', 'recfMBeC2yEoxBOw6', 'reccMz2MClnaCEIr8']","",""
"A Selection of African Prose (1964)","A Selection of African Prose","Anthology","1964","['recyHCLEwYTDvlAwV']","['recZw13lsI65j01ma']","","",""," - ","","['recLMQzV77VzO6vQi', 'recYd8IbqKFycWpUD', 'recTaUIJIdzBy1lpd', 'recRPpfHiqCpXWNte', 'rectLR4WqHi1z0tlJ', 'rec3pbQXBP69k11Mo']","","['recDbm03bi52xErRe']"
"A History of Neo-African Literature (1969)","A History of Neo-African Literature","Anthology","1969","['recEzJUESbrePx4Kd']","['recR6YHhrfthZo5tS']","","",""," - ","","['reczw3XJUDf6SR0mi', 'recGF7ILOMXVMs9nS', 'recizYTpQ3iZEUDCA', 'reckZXsAHMg1jC3Yr']","",""
"The Beautyful Ones are Not Yet Born (1968)","The Beautyful Ones are Not Yet Born","Single Author|Full Length","1968","['recxs7nr1XEK0p7Jk']","","","",""," - ","","['recmR4XVS1datq0LF']","","['recPYudkZMt7z98iw']"
"Mythic Things (1981)","Mythic Things","Single Author|Selected Works","1981","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['recIvOJPXVcolBbCP']","",""
"Mes chansons de toujours (1955)","Mes chansons de toujours","Single Author|Selected Works","1955","","['recaO8FXmzgUWmwxw']","","",""," - ","","['recQpckyjLYg2aitI']","",""
"Veld Patriarch and Other Poems (1949)","Veld Patriarch and Other Poems","Single Author|Selected Works","1949","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec2XKpMvC8aceyCb']","",""
"The Worker and Other Poems (1945)","The Worker and Other Poems","Single Author|Selected Works","1945","","","","",""," - ","","['recNyl5C5wrIrD9HM']","",""
"Selected Poems, 1961-1991 (1992)","Selected Poems, 1961-1991","Single Author|Collected Works","1992","['recR39NoWWMuOJoDO']","['recdmzHJTksmBYBa6']","","",""," - ","","['rec52iR1FktUDNUD8']","",""
"The Poetry of Léopold Sédar Senghor (1973)","The Poetry of Léopold Sédar Senghor","Single Author|Full Length","1973","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec6gdfDaoI0nffhQ']","",""
"Moral Stories (1954)","Moral Stories","Single Author|Full Length","1954","['rec9qcRtmrjpN421x']","","","",""," - ","","['rece1ZiUMc8X0iqCv']","",""
"London Letter and Other Poems (2000)","London Letter and Other Poems","Single Author|Selected Works","2000","['recrludAIg5YRTHRq']","['rechXxEReQlGKd2ar']","","",""," - ","","['recIJFsOJvI2ncR5D']","",""
"Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club","Anthology","1910","['rec5orC0LALDAOhkV']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec8oHaqxgV4ERrAi', 'recfXmbh8j9flojvy', 'recDZ7r7fLxs3YkY2', 'recuMN2d9j8kXSclh', 'rec8RWUnKyq7vDHig', 'recqH2CGcA8b2rZU0', 'recL8FwIEJ4uslQGy', 'recok26VN9L3BR74L', 'recl4DKIdFu2aTmkp', 'rec4vj3Odx0GTlF1W']","",""
"Of Love, Time, and Places (1994)","Of Love, Time, and Places","Single Author|Collected Works","1994","","","","",""," - ","","['recRFX6ONsgwBYL0j']","",""
"Umzwilili wama-Afrika (1996)","Umzwilili wama-Afrika","Single Author|Selected Works","1996","['recEpdfXUVbaN061H']","['rec12WNOPdXXeSa9Y']","","",""," - ","","['recpa71jSLs6QmfXu']","",""
"Two Songs (1971)","Two Songs","Single Author|Selected Works","1971","['recNo2rWicHO7t5BA']","['recu3MoBp4ft8I96h']","","",""," - ","","['recvediDPS6QnKqH3']","",""
"The Strong Breed (1968)","The Strong Breed","Single Author|Full Length","1968","","","","",""," - ","","['rectSJVeo1coqkdJm']","","['recxrGODZ06npUEsl']"
"Skoonheidstroos: nuwe gedigte (1932)","Skoonheidstroos: nuwe gedigte","Single Author|Selected Works","1932","['recxq15WOgg1YwL7j']","['recByKWBNYTnFNrCp']","","",""," - ","","['recqjqdIXFlPLAN85']","",""
"African Writing Today (1967)","African Writing Today","Anthology","1967","['reckanGgoZFeNEAni']","","","",""," - ","","['rech4Kv4qKLJ2qj1j']","True","['rec3Nv9evwLYkOhOM', 'rec4FUjwSPskfwn2o', 'recV9AERqQFpRBtyj']"
"The Emergence of African Fiction (1972)","The Emergence of African Fiction","Single Author|Full Length","1972","['recCVZE5Wg6hquj7a']","['rec2lbQThAnBuWF6m']","","",""," - ","","['recfDjY9oInys1wtQ', 'recLgbYlvJLmYm6Gt', 'rechfUIbcr0JDLrnY', 'receYQSQo5Uznyz3j', 'recgzYEVIUYKPCBXs']","","['recupfdDSalFAm6qS']"
"The Literature and Thought of Modern Africa (1978)","The Literature and Thought of Modern Africa","Single Author|Full Length","1978","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recPMGW7E7KTt60wb', 'recUPm2Rg8jz8CiQz', 'reczdNfd0NBn1bP8e']","",""
"Electric Delights. Selected and introduced by Rupert Hart-Davis. (1978)","Electric Delights. Selected and introduced by Rupert Hart-Davis.","Single Author|Selected Works","1978","['reczCvq5MZvA9Zlax']","['reck7rbt8DZuwaZSO']","","",""," - ","","['recTrfvlURSRYtSHM']","",""
"Amulet Teen die Vuur (1987)","Amulet Teen die Vuur","Single Author|Selected Works","1987","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec5tVdkLdNtrZARR']","",""
"Satellites (1967)","Satellites","Single Author|Selected Works","1967","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recJfUlidtBxDQWPE']","",""
"Die Sewe Vrese (1951)","Die Sewe Vrese","Single Author|Selected Works","1951","['recaOL5DmwflOJz1q']","['recFjYFloIc1MhnAb']","","",""," - ","","['recC4KVpQhxwUOXaQ']","",""
"Selves: Poems (1969)","Selves: Poems","Single Author|Selected Works","1969","['recfg8XeRA88wYMUA']","","","",""," - ","","","",""
"Heilige Beeste (1943)","Heilige Beeste","Single Author|Selected Works","1943","['recxq15WOgg1YwL7j']","['recByKWBNYTnFNrCp']","","",""," - ","","['recfRqhSKQzGH4yox']","",""
"Long Drums and Cannons (1968)","Long Drums and Cannons","Single Author|Full Length","1968","['recv6M0cEpbUkOb0O']","['recR6YHhrfthZo5tS']","","",""," - ","","['recs8fNRAfvdhQcqw', 'rec66hRU9BUeaT7YF', 'rec2HYJCFXZWiFmlG', 'rec7Mf6JNXJ2h1SBu']","",""
"Amboara poezia sy tononkalo malagasy (1965)","Amboara poezia sy tononkalo malagasy","Single Author|Selected Works","1965","['recLk7PaDmJeBeM3d']","['recEQ5xxm0QUQCzsd']","","",""," - ","","['rec8ij2yIDR6nVDeI']","",""
"Topics in West African History (1986)","Topics in West African History","Single Author|Full Length","1986","['recpnKAl8DyDg6Njk']","","","",""," - ","","['rec4C3huVMvWWbDak']","","['recPYudkZMt7z98iw']"
"Selected Poems of Francis Carey Slater (1947)","Selected Poems of Francis Carey Slater","Single Author|Selected Works","1947","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['recsWynvSXbydf0hs']","",""
"I Sing Where I Stand: Versions from the Afrikaans of Phil du Plessis: Poesie 1892-1984 (1985)","I Sing Where I Stand: Versions from the Afrikaans of Phil du Plessis: Poesie 1892-1984","Single Author|Selected Works","1985","","","","",""," - ","","['recmxJuCHzm71x2Ri']","",""
"The Poet Lied: and Other Poems (1980)","The Poet Lied: and Other Poems","Single Author|Selected Works","1980","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recF3KbsfPP8lbNF7']","",""
"Fault Lines (1993)","Fault Lines","Single Author|Full Length","1993","['recqoRRFUFyrl2XZe']","","","",""," - ","","['recz59Hk21SDUsBsX']","","['recQmRptXoG3q9IPo']"
"Satellites (1967)","Satellites","Single Author|Selected Works","1967","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recg6OMD3wRaAXWiN', 'recKy1wH3HJqCpMCY', 'rec5UnVzC9LHhGaQn', 'recJiyVokTIFPsBGs', 'recLrzwqzHwYYFdHF', 'recOtEOsmFQ9BW2PW', 'recmZvjyirK7aeouL']","","['recUOB2MhRPPmNyxa']"
"The Song Atlas: A book of world poetry (2003)","The Song Atlas: A book of world poetry","Anthology","2003","['rec1nkWhXxnhMDgEv']","['recFsn8RVfhGPlVDL']","","",""," - ","","['recp6umLdwmkZV2Ey']","","['recDlug5Xba7677yK']"
"A Treasury of South African Poetry (1907)","A Treasury of South African Poetry","Anthology","1907","['recdzMJFbjeq1ptEt']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recjTdoDRVSOFgcGv', 'recQNibJ3rQoZHejA']","",""
"God's Outpost (1907)","God's Outpost","Single Author|Selected Works","1907","","","","",""," - ","","['recfEa1LqJccvfQ4t']","",""
"Ephemorides: or occasional poems, Written in Scotland and South Africa (1828)","Ephemorides: or occasional poems, Written in Scotland and South Africa","Single Author|Selected Works","1828","['recoXGAy4buem1K6T']","['recR6YHhrfthZo5tS']","","",""," - ","","['recuvnNCAQryDoCTm']","","['rec9m8uCI7nmxwxA6']"
"Art, Dialogue and Outrage: Essays on Literature and Culture (1988)","Art, Dialogue and Outrage: Essays on Literature and Culture","Single Author|Full Length","1988","['recX8QLIf2DpCzLvf']","['recesdnoCDNCstSIs']","","",""," - ","","['recRiXGlx02tyANeb']","","['recDAo3hZsGJsapGc']"
"Met woorde soos met kerse (2002)","Met woorde soos met kerse","Single Author|Selected Works","2002","['recmD6Xi4RgqEAYyN']","['recByKWBNYTnFNrCp']","","",""," - ","","['recMor73ftE08tb1E']","",""
"Go Tell the Generals (2008)","Go Tell the Generals","Single Author|Selected Works","2008","['recrludAIg5YRTHRq']","['rechXxEReQlGKd2ar']","","",""," - ","","['recWSzEagl74j09VJ']","",""
"Who's Who in Africa: the political, military and business leaders of Africa (1973)","Who's Who in Africa: the political, military and business leaders of Africa","Single Author|Full Length","1973","['recMxOHswLihvrUdP']","","","",""," - ","","['recK57aruwUk8zgjD']","",""
"Rudyard Kipling's Verse: Definitive Edition (1940)","Rudyard Kipling's Verse: Definitive Edition","Single Author|Collected Works","1940","['recXtCF2txBz7xGpR']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recCNppbtRmpfyCdY']","",""
"The Poetry (2014)","The Poetry","Single Author|Selected Works","2014","['recvAB9KNsG4WYBUk']","['rec12WNOPdXXeSa9Y']","","",""," - ","","['recelQ5QQCj4V9eOX']","",""
"Okike: An African Journal of New Writing (1978)","Okike: An African Journal of New Writing","Anthology","1978","['recGJI95pZagLMsJR']","['recXPntGwY2s4aLzb']","","",""," - ","","['rec8XqPPgpU362LTM', 'recixp5j5aeBvloyX', 'recaHmFzTb7gf8u0E', 'recmmKfnwA54qt85M']","","['recpxefMUkCDe0y1d']"
"Re-Creating Ourselves: African Women & Critical Transformations (1994)","Re-Creating Ourselves: African Women & Critical Transformations","Anthology","1994","['reccgFsYvJjLhkRPL']","","","",""," - ","","['recsp3Uchv6EYNaXV', 'reccVf86bue459HwX']","",""
"The Chosen Tongue: English writing in the tropical world (1970)","The Chosen Tongue: English writing in the tropical world","Single Author|Full Length","1970","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","['rec3epTjewMgomD0c']","['recHKujbt3nwsObAj', 'recNnLORfkV1xovIP', 'rec8WX6s0ng9PnmPm', 'recstqdanIb4OM4NE']","",""
"Another Africa (1997)","Another Africa","Single Author|Full Length","1997","['recaZyYk7lgbLBnhs']","['recR6YHhrfthZo5tS']","","",""," - ","","['recbM6cgE2FnMCohF']","",""
"Heavensgate (1962)","Heavensgate","Single Author|Selected Works","1962","","","","",""," - ","","['recFQKRSHc658GCCJ']","",""
"Jol'iinkomo (1977)","Jol'iinkomo","Single Author|Selected Works","1977","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['recxxA4iTokNWRTm8']","",""
"The Story of Baden-Powell: 'The Wolf That Never Sleeps' (1900)","The Story of Baden-Powell: 'The Wolf That Never Sleeps'","Single Author|Full Length","1900","['recDNIiLLyPChg9eS']","","","",""," - ","","","",""
"Selected Poems (1988)","Selected Poems","Single Author|Selected Works","1988","['rec1nkWhXxnhMDgEv']","['recFsn8RVfhGPlVDL']","","",""," - ","","['recy5R7cd42v3ykjc']","",""
"In the Country Places (1920)","In the Country Places","Single Author|Selected Works","1920","['rec1BRerMrMBNKzOd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recp8lPo0y69ajx1X']","",""
"Sculptor in Prison (1980)","Sculptor in Prison","Research Article","1980","","","","",""," - ","","['receuKDosoeBoK69i']","","['rectH75LftSZ6rlLV']"
"Letters to Martha and other poems (1969)","Letters to Martha and other poems","Single Author|Selected Works","1969","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['recH8QSe674aj06gk', 'recqoYUlZB3TlHeZD', 'recpF5ilQ5pZcIWWF', 'reccVwqQwWGSaV0Jw', 'recRmnuJupJAQeFgn', 'recdqWmKccwiYrxQR', 'recj5s7KYHOLae6Gz']","","['recUOB2MhRPPmNyxa']"
"Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club","Anthology","1910","['rec5orC0LALDAOhkV']","['recR6YHhrfthZo5tS']","","",""," - ","","['recaPaXXnY08Gqi5q', 'rec1VsZYkJuTycm5G']","",""
"Time and Memory (1974)","Time and Memory","Single Author|Selected Works","1974","['rect46PrIYgnKcOP4']","['recByKWBNYTnFNrCp']","","",""," - ","","['reciadYmFwViLw5mi']","",""
"Klein Simbool: Prosaverse (1958)","Klein Simbool: Prosaverse","Single Author|Selected Works","1958","","","","",""," - ","","['reckVmVh4gRFouOWl']","",""
"Telephone Conversation (1962)","Telephone Conversation","Poem","1962","","","","",""," - ","","['recBX7tu99iqtHutw']","","['recnBoCfV6zivh3nk']"
"Igudu lika Somcabeko (1997)","Igudu lika Somcabeko","Single Author|Selected Works","1997","['recjegVjCwIibZ2my']","","","",""," - ","","['recUiBeuN56bo4njj']","",""
"The Fisherman's Invocation: Poems (1978)","The Fisherman's Invocation: Poems","Single Author|Selected Works","1978","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recLbnvN4yea8p1Hk']","",""
"Die Bevryding (1952)","Die Bevryding","Single Author|Selected Works","1952","['reccegMyaZmmzn4hx']","","","",""," - ","","['recKPoOZl5RBgQmZN']","",""
"Distanced: New Poems (1975)","Distanced: New Poems","Single Author|Selected Works","1975","['rectJ4vNAp0Eoxllk']","['recKif19KMEYsJGG0']","","",""," - ","","['recUJI3JJPe6KL0iJ']","",""
"Labyrinths  and Paths of Thunder (1971)","Labyrinths  and Paths of Thunder","Single Author|Selected Works","1971","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['recra6ZHDqKPDlrFn', 'recKvMl4TKaXGgVgX', 'rec0ueJ6KxFYM3lZE', 'rec6w16h4RNeRfI5y', 'recvEMIGxjK18hFnr', 'recuzHSZYL9dbttJm', 'recniRs6qtmgxvfWv']","","['recUOB2MhRPPmNyxa']"
"Verbruikersverse/Consumer's verse (1997)","Verbruikersverse/Consumer's verse","Single Author|Selected Works","1997","['recQnyM4cs2WKNUE0']","['recPpOUCWKa5TQtDi']","","",""," - ","","['recDZf4tEQvGylDy5']","",""
"Poets in South Africa: An Anthology (1958)","Poets in South Africa: An Anthology","Anthology","1958","['recCZOYSWnEY1mfOB']","['recByKWBNYTnFNrCp']","","",""," - ","","['recarC1qm2GId5im9', 'rec4yIciMhrPuv3cb', 'rectvW3ahloROuhUQ', 'recbkAKQWMPesi11R', 'recRyjEhkm49QkOv7', 'recMmUITSTKBOikOQ', 'recLjyAL9vWHZxiqY', 'recqFkmrgonQ7OjCC', 'recRQkg8b5T0otp3I', 'recN7COrNkWWL95RF']","","['recnHXwhpwqgx5H9n']"
"No Longer at Ease (1960)","No Longer at Ease","Single Author|Full Length","1960","['recKkNwvXwxWNXvFT']","['recR6YHhrfthZo5tS']","","",""," - ","","['recnJ9VsZrBUwkVAl', 'recjbuMz4VAWMWISs', 'recHnR3WxyTbVQUsP', 'recm2Atu763AXrDwp', 'rectg26iEERmmyr3V', 'recD9TgToDIB35EbO', 'recf2QJIT5uH4VSC4', 'recjJGTqvTq3UXbHd', 'recM2FX4NN60a2AUK']","","['recENYPFi07koxKf6']"
"Oom Gert vertel en ander gedigte (1911)","Oom Gert vertel en ander gedigte","Single Author|Selected Works","1911","['recv3lJAQzmXZCmYB']","['recnJWrToOJpzPsKv']","","",""," - ","","['reczrvUabK38rFDBc']","",""
"Primordiale du Sixième Jour (1963)","Primordiale du Sixième Jour","Single Author|Selected Works","1963","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recY3ixHJDWLrmUka']","",""
"Afrikaans: Its Origin and Development (1936)","Afrikaans: Its Origin and Development","Single Author|Full Length","1936","['recyHCLEwYTDvlAwV']","['recZw13lsI65j01ma']","","",""," - ","","['recHPIiDefQP5s8k3']","",""
"A Handful of Heather (1893)","A Handful of Heather","Single Author|Selected Works","1893","['recypkGtlqisvggQ4']","['recfIcl7v6SgmqwkD']","","",""," - ","","['recQFz4yTRICSTpxz']","",""
"Pilgrimage of Grace: Verses on a Mission (1912)","Pilgrimage of Grace: Verses on a Mission","Single Author|Selected Works","1912","['reccm0WBNcKMuAjgt']","","","",""," - ","","['recEEnQvcYJnjTvJN']","",""
"Talking Bronco (1946)","Talking Bronco","Single Author|Selected Works","1946","['recEzJUESbrePx4Kd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recG4bJPgChgCrmNG']","","['rec7qhKCxlhAUmD0d', 'rec4M32tAX1bcTRD2']"
"The Trek (1938)","The Trek","Single Author|Selected Works","1938","","","","",""," - ","","['recpYBd0fdFVKvXwv']","",""
"Night of My Blood (1971)","Night of My Blood","Single Author|Selected Works","1971","['recXtCF2txBz7xGpR']","['recRPTnrNPU6ArRJv']","","",""," - ","","['reclmZMpPM3loukxT']","",""
"Selected Poems (1989)","Selected Poems","Single Author|Selected Works","1989","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['recChkk7kNys03jSP']","",""
"Cape Drives (1974)","Cape Drives","Single Author|Selected Works","1974","['recnxFFLnQDgjJ9sJ']","['recR6YHhrfthZo5tS']","","",""," - ","","['recqaxs7hZmlFGQHP']","","['rec6qwxS4Z5eL8ZBj']"
"Wolk van die Mooi Weer: 'n Suid-Amerikaanse Reisjoernaal (1964)","Wolk van die Mooi Weer: 'n Suid-Amerikaanse Reisjoernaal","Single Author|Full Length","1964","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recJJuEjjwr7mEpRV']","",""
"The Pineapple Child and Other Tales from Ashanti (1987)","The Pineapple Child and Other Tales from Ashanti","Single Author|Full Length","1987","","","","",""," - ","","['rec4fW8m96fo7IFCh']","","['recPYudkZMt7z98iw']"
"Toward the Decolonization of African Literature, Vol. 1: African Fiction and Poetry and Their Critics (1983)","Toward the Decolonization of African Literature, Vol. 1: African Fiction and Poetry and Their Critics","Anthology","1983","['rectCtZY2crWRvDz8']","['recZ8nuD8yhiuQwZM']","","",""," - ","","['recENvV0jvH0VfVub', 'rectCaQgPLG7lmiKv']","",""
"Fireflames (1980)","Fireflames","Single Author|Selected Works","1980","['recplelkWTy7jNeH2']","['recD1fJpkbkjnc0L8']","","",""," - ","","['recQvKDt6JKyI8XPz']","",""
"Visions and Reflections (1972)","Visions and Reflections","Single Author|Selected Works","1972","['recT90dMewOCRmDHR']","","","",""," - ","","['recB8WoVY2nwXgG3v']","",""
"Belydenis in die Skemering (1936)","Belydenis in die Skemering","Single Author|Selected Works","1936","['recJlRVhcyEr0JW8a']","['recByKWBNYTnFNrCp']","","",""," - ","","['recbsRc8Fq8nEGwB6']","",""
"Multiplication (2000)","Multiplication","Single Author|Selected Works","2000","","","","",""," - ","","['recOjF0rgqjacK2gO']","",""
"Schoolboy Lyrics (1881)","Schoolboy Lyrics","Single Author|Selected Works","1881","['recc1ilmKSHJJzpnR']","","","",""," - ","","['recvtvZzA8y5JbknQ']","",""
"Black Orpheus: An Anthology of African and Afro-American Prose (1964)","Black Orpheus: An Anthology of African and Afro-American Prose","Anthology","1964","['recf0IQOjUVt9CxwS']","['rechXxEReQlGKd2ar']","","",""," - ","","['recX9H6mblYhMGswj', 'recFjKmXavkexB8iB', 'recSin2cBzpoebBZG', 'recC03L1UbAnhXshx']","","['recm1IzCn1OrPx3iM']"
"Die Klop (1961)","Die Klop","Single Author|Selected Works","1961","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['rectsxJXSDU246VOy']","",""
"Metrical Observations (1980)","Metrical Observations","Single Author|Selected Works","1980","['rec1nkWhXxnhMDgEv']","['recFsn8RVfhGPlVDL']","","",""," - ","","['rec4NlZWuCvFtOHrh']","",""
"Reisiger (1953)","Reisiger","Single Author|Selected Works","1953","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recxvc7agQZ3tGErO']","",""
"Atlantis or The crying of the waters (1954)","Atlantis or The crying of the waters","Single Author|Selected Works","1954","['rec988kMaP0cWZMoV']","","","",""," - ","","['recPFYQQBJFrclMAi']","",""
"The Bloodaxe Book of Contemporary Women Poets (1985)","The Bloodaxe Book of Contemporary Women Poets","Anthology","1985","['recYQDXRa2WsSnoTL']","['recLgjpo7oPxVG4LM']","","",""," - ","","['recB0hbrdMBxNLE1w']","","['recTNefMui1Z5rAqu']"
"Épitomé (1962)","Épitomé","Single Author|Selected Works","1962","","","","",""," - ","","['recEVvrVTTTNdR5Uv']","",""
"The battle between heaven and hell (1972)","The battle between heaven and hell","Single Author|Selected Works","1972","","","","",""," - ","","['recLmUsOJH9dN3qit']","",""
"Gerwe uit die erfpag van Skoppensboer (1948)","Gerwe uit die erfpag van Skoppensboer","Single Author|Selected Works","1948","['recYN91fhMQgFG4hs']","['recFjYFloIc1MhnAb']","","",""," - ","","['reccjVEcKY9pTEe07']","",""
"From Mimosa Land (1910)","From Mimosa Land","Single Author|Selected Works","1910","['rec9rJE4Sio33chZO']","['recfIcl7v6SgmqwkD']","","",""," - ","","['recXVBA1esTBPAlUy']","",""
"The Mirrors of Downing Street: Some Political Reflections by a Gentleman with a Duster (1921)","The Mirrors of Downing Street: Some Political Reflections by a Gentleman with a Duster","Single Author|Full Length","1921","['recQWjo5pWPkXUVc6']","['recRPTnrNPU6ArRJv']","","",""," - ","","","",""
"La Belle Histoire de Leuk-le-Lièvre (1953)","La Belle Histoire de Leuk-le-Lièvre","Single Author|Selected Works","1953","['recZpDN5vW6YxrWBY']","","","",""," - ","","['recpUavYbk1FMaHiv']","",""
"Nigeria The Beautiful: Poems for Dance Drama (2011)","Nigeria The Beautiful: Poems for Dance Drama","Single Author|Selected Works","2011","['recrludAIg5YRTHRq']","['rechXxEReQlGKd2ar']","","",""," - ","","['recW0R3r1lC6uUQjp']","",""
"So Far: Selected Poems, 1960-2004 (2005)","So Far: Selected Poems, 1960-2004","Single Author|Collected Works","2005","['recR39NoWWMuOJoDO']","['recdmzHJTksmBYBa6']","","",""," - ","","['recGVCxHeKEJYzZF1']","",""
