title,authors,pub_title,pub_date,pub_issuenum,start_page,subjects,citation,url,doc_id,dvi_type,image_url
A Frican Adventurer,,Financial Times,"May 6, 2006","36,066",28-29,['Literary prizes'],"""A Frican Adventurer."" FT Magazine. Financial Times, 6 May 2006, p. 28-29. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2306058300/FTHA?u=linc74325&sid=gale_api&xid=0e16a00f,GALE|HS2306058300,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-2006-0506-0167']
A life in pictures,['Wole Soyinka'],Financial Times,"January 23, 2010","37,215",10,,"Soyinka, Wole. ""A life in pictures."" Ft Weekend Magazine. Financial Times, 23 Jan. 2010, p. 10. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2307372924/FTHA?u=linc74325&sid=gale_api&xid=b5e24296,GALE|HS2307372924,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-2010-0123-0097']
Harsh comedy on a Lagos beach,['From Our Drama Critic'],The Times,"June 29, 1966",56670,7,"['Soyinka, Wole']","From Our Drama Critic. ""Harsh comedy on a Lagos beach."" Times, 29 June 1966, p. 7. The Times Digital Archive.",https://link.gale.com/apps/doc/CS117664477/TTDA?u=linc74325&sid=gale_api&xid=58a21310,GALE|CS117664477,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1966-JUN29-007']
'How do you pull off something like this?',['Wole Soyinka'],Financial Times,"March 28, 2009","36,961",10,"['Plays', 'Soyinka, Wole']","Soyinka, Wole. ""'How do you pull off something like this?'."" Life & Arts. Financial Times, 28 Mar. 2009, p. 10. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2307335863/FTHA?u=linc74325&sid=gale_api&xid=bc9533dd,GALE|HS2307335863,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-2009-0328-0046']
Tracts for the Times,"['Wole Soyinka', 'Andrew St. George']",Financial Times,"December 10, 1988","30,716",XVI,,"Soyinka, Wole, and Andrew St. George. ""Tracts for the Times."" Financial Times, 10 Dec. 1988, p. XVI. Financial Times Historical Archive.",https://link.gale.com/apps/doc/HS2305742095/FTHA?u=linc74325&sid=gale_api&xid=54027a44,GALE|HS2305742095,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/FTDA-1988-1210-0038']
News in Brief,,The Times,"November 2, 1965",56468,7,"['Soyinka, Wole']","""News in Brief."" Times, 2 Nov. 1965, p. 7. The Times Digital Archive.",https://link.gale.com/apps/doc/CS118581602/TTDA?u=linc74325&sid=gale_api&xid=bf635e37,GALE|CS118581602,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1965-NOV02-007']
News in Brief,,The Times,"October 9, 1969",57686,1,"['Soyinka, Wole']","""News in Brief."" Times, 9 Oct. 1969, p. 1. The Times Digital Archive.",https://link.gale.com/apps/doc/CS17658185/TTDA?u=linc74325&sid=gale_api&xid=ce3469a8,GALE|CS17658185,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1969-OCT09-001']
Tonie: acting in Hampsted,,The Times,"May 17, 1966",56633,15,['Education grants'],"""Tonie: acting in Hampsted."" Times, 17 May 1966, p. 15. The Times Digital Archive.",https://link.gale.com/apps/doc/CS252406449/TTDA?u=linc74325&sid=gale_api&xid=6b0f9b9c,GALE|CS252406449,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1966-MAY17-015']
A Literature In The Making,['J. P. R. Wallis'],The Times,"May 31, 1935",47078,57,['Poetry'],"Wallis, J. P. R. ""A Literature In The Making."" Times, 31 May 1935, p. 57. The Times Digital Archive.",https://link.gale.com/apps/doc/CS956509375/TTDA?u=linc74325&sid=gale_api&xid=100e19d1,GALE|CS956509375,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1935-MAY31-057']
Ife University post for Wole Sovinka,,The Times,"January 2, 1976",59591,4,"['Universities and colleges', 'Soyinka, Wole']","""Ife University post for Wole Sovinka."" Times, 2 Jan. 1976, p. 4. The Times Digital Archive.",https://link.gale.com/apps/doc/CS67599906/TTDA?u=linc74325&sid=gale_api&xid=cc296e5e,GALE|CS67599906,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1976-JAN02-004']
News in Brief,,The Times,"March 22, 1971",58127,5,"['Soyinka, Wole']","""News in Brief."" Times, 22 Mar. 1971, p. 5. The Times Digital Archive.",https://link.gale.com/apps/doc/CS86078582/TTDA?u=linc74325&sid=gale_api&xid=7ffd2a07,GALE|CS86078582,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1971-MAR22-005']
Winning struggle to reestablish African culture alongside the economic revolution,['C. E.'],The Times,"October 9, 1972",58600,VIII,,"C. E. ""Winning struggle to reestablish African culture alongside the economic revolution."" Times, 9 Oct. 1972, p. VIII. The Times Digital Archive.",https://link.gale.com/apps/doc/CS537098057/TTDA?u=linc74325&sid=gale_api&xid=a38234b5,GALE|CS537098057,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1972-OCT09-032']
Playwright's denial on Biafra,['FROM A SPECIAL CORRESPONDENT'],The Times,"November 9, 1967",57094,5,"['Playwrights', 'Soyinka, Wole']","FROM A SPECIAL CORRESPONDENT. ""Playwright's denial on Biafra."" Times, 9 Nov. 1967, p. 5. The Times Digital Archive.",https://link.gale.com/apps/doc/CS85421417/TTDA?u=linc74325&sid=gale_api&xid=6ee762f9,GALE|CS85421417,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1967-NOV09-005']
Rumbustious Start to Festival,,The Times,"September 15, 1965",56427,14,"['Festivals', 'Soyinka, Wole']","""Rumbustious Start to Festival."" Times, 15 Sept. 1965, p. 14. The Times Digital Archive.",https://link.gale.com/apps/doc/CS236153135/TTDA?u=linc74325&sid=gale_api&xid=5f8d4496,GALE|CS236153135,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1965-SEP15-014']
foan Littlewood's theatre plans,,The Times,"March 17, 1967",56892,12,['Theater'],"""foan Littlewood's theatre plans."" Times, 17 Mar. 1967, p. 12. The Times Digital Archive.",https://link.gale.com/apps/doc/CS202861681/TTDA?u=linc74325&sid=gale_api&xid=4d461857,GALE|CS202861681,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1967-MAR17-012']
Opening Postponed,,The Times,"December 2, 1966",56804,20,,"""Opening Postponed."" Times, 2 Dec. 1966, p. 20. The Times Digital Archive.",https://link.gale.com/apps/doc/CS337210242/TTDA?u=linc74325&sid=gale_api&xid=3e459f1b,GALE|CS337210242,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1966-DEC02-020']
MODERN AFRICAN WRITERS,,The Times Literary Supplement,"February 11, 1972",3650,151,,"""MODERN AFRICAN WRITERS."" The Times Literary Supplement, no. 3650, 11 Feb. 1972, p. 151. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200378907/TLSH?u=linc74325&sid=gale_api&xid=77ae0412,GALE|EX1200378907,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1972-0211-0011']
Nigerian play for Court Theatre,,The Times,"November 28, 1966",56800,6,"['Comedy movies', 'Theater']","""Nigerian play for Court Theatre."" Times, 28 Nov. 1966, p. 6. The Times Digital Archive.",https://link.gale.com/apps/doc/CS101935996/TTDA?u=linc74325&sid=gale_api&xid=81e46d7b,GALE|CS101935996,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1966-NOV28-006']
Progress in Nigeria since civil war,,The Times,"October 7, 1972",58599,6,,"""Progress in Nigeria since civil war."" Times, 7 Oct. 1972, p. 6. The Times Digital Archive.",https://link.gale.com/apps/doc/CS102070087/TTDA?u=linc74325&sid=gale_api&xid=74e4506c,GALE|CS102070087,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1972-OCT07-006']
Sheer ingenuity of Soyinka's plot,['FROM OUR DRAMA CRITIC'],The Times,"December 13, 1966",56813,6,"['Soyinka, Wole']","FROM OUR DRAMA CRITIC. ""Sheer ingenuity of Soyinka's plot."" Times, 13 Dec. 1966, p. 6. The Times Digital Archive.",https://link.gale.com/apps/doc/CS100887437/TTDA?u=linc74325&sid=gale_api&xid=da83ed9c,GALE|CS100887437,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1966-DEC13-006']
Nigerian author,"['RONALD DAN ANDRE JOAN DENNIS BRYDEN DAN BRYDEN, JACOBSON, DEUTSCH, LITTLEWOOD, DUERDEN']",The Times,"August 29, 1967",57032,7,,"BRYDEN, JACOBSON, DEUTSCH, LITTLEWOOD, DUERDEN,, RONALD DAN ANDRE JOAN DENNIS BRYDEN DAN. ""Nigerian author."" Times, 29 Aug. 1967, p. 7. The Times Digital Archive.",https://link.gale.com/apps/doc/CS118058269/TTDA?u=linc74325&sid=gale_api&xid=c9975ef8,GALE|CS118058269,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1967-AUG29-007']
Mr. Wole Soyinka Acquitted,['FROM OUR CORRESPONDENT'],The Times,"December 21, 1965",56510,8,"['Soyinka, Wole']","FROM OUR CORRESPONDENT. ""Mr. Wole Soyinka Acquitted."" Times, 21 Dec. 1965, p. 8. The Times Digital Archive.",https://link.gale.com/apps/doc/CS135883157/TTDA?u=linc74325&sid=gale_api&xid=c726ab5b,GALE|CS135883157,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1965-DEC21-008']
Clash of values,['Wole Irving Soyinka Wardle'],The Times,"November 27, 1968",57419,8,"['Soyinka, Wole']","Soyinka Wardle, Wole Irving. ""Clash of values."" Times, 27 Nov. 1968, p. 8. The Times Digital Archive.",https://link.gale.com/apps/doc/CS134442875/TTDA?u=linc74325&sid=gale_api&xid=24661f73,GALE|CS134442875,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1968-NOV27-008']
Season Of African Plays,,The Times,"June 17, 1966",56660,8,,"""Season Of African Plays."" Times, 17 June 1966, p. 8. The Times Digital Archive.",https://link.gale.com/apps/doc/CS135097041/TTDA?u=linc74325&sid=gale_api&xid=236e0c44,GALE|CS135097041,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1966-JUN17-008']
African Playwright And Poet,,The Times,"November 2, 1959",54607,3,"['Playwrights', 'Poets']","""African Playwright And Poet."" Times, 2 Nov. 1959, p. 3. The Times Digital Archive.",https://link.gale.com/apps/doc/CS51600738/TTDA?u=linc74325&sid=gale_api&xid=40613d0d,GALE|CS51600738,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1959-NOV02-003']
Poetry,,The Listener,"June 19, 1969",2099,iv,,"""Poetry."" The Listener, vol. 81, no. 2099, 19 June 1969, p. iv. The Listener Historical Archive, 1929-1991.",https://link.gale.com/apps/doc/GM2500138276/LSNR?u=linc74325&sid=gale_api&xid=a0d35f2a,GALE|GM2500138276,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/LSNR-1969-0619-0020']
Charges Of Forming Illegal W. Nigeria Government,"['From Our Correspondent-LAGOS, OCT. 17']",The Times,"October 18, 1965",56455,10,"['Local government', 'Party leaders']","From Our Correspondent-LAGOS, OCT. 17. ""Charges Of Forming Illegal W. Nigeria Government."" Times, 18 Oct. 1965, p. 10. The Times Digital Archive.",https://link.gale.com/apps/doc/CS169175378/TTDA?u=linc74325&sid=gale_api&xid=78cb7818,GALE|CS169175378,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1965-OCT18-010']
A passionate voice crying out against corruption,['Rex Collings'],The Times,"February 3, 1982",61148,XIII,['Political corruption'],"Collings, Rex. ""A passionate voice crying out against corruption."" Times, 3 Feb. 1982, p. XIII. The Times Digital Archive.",https://link.gale.com/apps/doc/CS620988995/TTDA?u=linc74325&sid=gale_api&xid=be9a90a5,GALE|CS620988995,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1982-FEB03-037']
Police hold playwright,['FROM OUR CORRESPONDENT'],The Times,"October 30, 1967",57085,5,"['Playwrights', 'Soyinka, Wole']","FROM OUR CORRESPONDENT. ""Police hold playwright."" Times, 30 Oct. 1967, p. 5. The Times Digital Archive.",https://link.gale.com/apps/doc/CS84897118/TTDA?u=linc74325&sid=gale_api&xid=d9dd2cf8,GALE|CS84897118,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1967-OCT30-005']
Soyinka says Nigeria gaol was 'no picnic',['JOHN CLARE'],The Times,"June 27, 1970",57903,5,"['Soyinka, Wole']","CLARE, JOHN. ""Soyinka says Nigeria gaol was 'no picnic'."" Times, 27 June 1970, p. 5. The Times Digital Archive.",https://link.gale.com/apps/doc/CS85291739/TTDA?u=linc74325&sid=gale_api&xid=4304b3ff,GALE|CS85291739,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1970-JUN27-005']
Two Playwrights Win £500,,The Times,"July 3, 1967",56983,6,['Playwrights'],"""Two Playwrights Win £500."" Times, 3 July 1967, p. 6. The Times Digital Archive.",https://link.gale.com/apps/doc/CS101805283/TTDA?u=linc74325&sid=gale_api&xid=ff595615,GALE|CS101805283,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1967-JUL03-006']
African dramatist's new play,,The Times,"September 30, 1966",56750,14,"['Playwrights', 'Plays', 'Soyinka, Wole']","""African dramatist's new play."" Times, 30 Sept. 1966, p. 14. The Times Digital Archive.",https://link.gale.com/apps/doc/CS235236158/TTDA?u=linc74325&sid=gale_api&xid=ca10d8b1,GALE|CS235236158,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1966-SEP30-014']
Wole Soyinka,['REX COLLINGS'],The Times,"June 10, 1969",57582,11,,"COLLINGS, REX. ""Wole Soyinka."" Times, 10 June 1969, p. 11. The Times Digital Archive.",https://link.gale.com/apps/doc/CS185299146/TTDA?u=linc74325&sid=gale_api&xid=5005df07,GALE|CS185299146,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1969-JUN10-011']
Seventy-five years on,['Basil Williams'],The Times Literary Supplement,"April 19, 1985",4280,452,,"Williams, Basil. ""Seventy-five years on."" The Times Literary Supplement, no. 4280, 19 Apr. 1985, p. 452. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200447105/TLSH?u=linc74325&sid=gale_api&xid=7249164e,GALE|EX1200447105,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1985-0419-0032']
Literature as Symptom?,"['John William Mills Willett', 'J. WILLETT']",The Times Literary Supplement,"January 11, 1963",3176,25,,"Willett, John William Mills, and J. WILLETT. ""Literature as Symptom?"" The Times Literary Supplement, no. 3176, 11 Jan. 1963, p. 25. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200130705/TLSH?u=linc74325&sid=gale_api&xid=ecabe609,GALE|EX1200130705,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1963-0111-0009']
In search of a subject,['Sousa Jamba'],The Times Literary Supplement,"February 7, 2003",5210,25,"['Public libraries', 'Larson, Charles R.']","Jamba, Sousa. ""In search of a subject."" The Times Literary Supplement, no. 5210, 7 Feb. 2003, p. 25. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200512580/TLSH?u=linc74325&sid=gale_api&xid=9b1b5629,GALE|EX1200512580,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-2003-0207-0025']
Global locals,['Coker Christopher'],The Times Literary Supplement,"December 5, 2008",5514,12,,"Christopher, Coker. ""Global locals."" The Times Literary Supplement, no. 5514, 5 Dec. 2008, p. 12. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200551844/TLSH?u=linc74325&sid=gale_api&xid=c8d83bd8,GALE|EX1200551844,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-2008-1205-0012']
"Information, please",,The Times Literary Supplement,"November 29, 1996",4887,31,,"""Information, please."" The Times Literary Supplement, no. 4887, 29 Nov. 1996, p. 31. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200484920/TLSH?u=linc74325&sid=gale_api&xid=6330b630,GALE|EX1200484920,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1996-1129-0031']
Winter of Discontent,['James Callaghan'],The Sunday Times,"April 5, 1987",8487,49,,"Callaghan, James. ""Winter of Discontent."" Sunday Times, 5 Apr. 1987, pp. 49+. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1801736704/STHA?u=linc74325&sid=gale_api&xid=fd8a3342,GALE|FP1801736704,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1987-0405-0049', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1987-0405-0050']"
Behind the lines,['Lorna Sage'],The Times Literary Supplement,"May 15, 1987",4389,516,,"Sage, Lorna. ""Behind the lines."" The Times Literary Supplement, no. 4389, 15 May 1987, p. 516. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200452309/TLSH?u=linc74325&sid=gale_api&xid=f090b024,GALE|EX1200452309,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1987-0515-0012']
Among the magazines,,The Times Literary Supplement,"June 6, 1980",4028,646,"['Periodicals', 'Pound, Ezra']","""Among the magazines."" The Times Literary Supplement, no. 4028, 6 June 1980, p. 646. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200429466/TLSH?u=linc74325&sid=gale_api&xid=c2b9b6bf,GALE|EX1200429466,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1980-0606-0018']
Witness to man's inhumanity,['Barbara Trapido'],The Sunday Times,"January 24, 1999",9100,8[S7],,"Trapido, Barbara. ""Witness to man's inhumanity."" Books. Sunday Times, 24 Jan. 1999, pp. 8[S7]+. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1802605366/STHA?u=linc74325&sid=gale_api&xid=807b1a62,GALE|FP1802605366,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1999-0124-0160', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1999-0124-0161']"
Stirring a sense of common purpose,['Isabel Fonseca'],The Times Literary Supplement,"April 22, 1988",4438,448,"['King, Francis Henry']","Fonseca, Isabel. ""Stirring a sense of common purpose."" The Times Literary Supplement, no. 4438, 22 Apr. 1988, p. 448. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200454767/TLSH?u=linc74325&sid=gale_api&xid=084f9292,GALE|EX1200454767,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1988-0422-0012']
SOUNDING THE SIXTIES- 2 THE COMMONWEALTH,"['Derwent J. May', 'D. MAY', 'Douglas Grant', 'J. Willett', 'John William Mills Willett']",The Times Literary Supplement,"September 16, 1965",3316,786,,"May, Derwent J., et al. ""SOUNDING THE SIXTIES- 2 THE COMMONWEALTH."" The Times Literary Supplement, no. 3316, 16 Sept. 1965, pp. 786+. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200337630/TLSH?u=linc74325&sid=gale_api&xid=4dd56c01,GALE|EX1200337630,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1965-0916-0002', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1965-0916-0003']"
Poetry International,,The Times,"May 29, 1973",58794,9,"['Poets', 'Poetry', 'Modern art']","""Poetry International."" Times, 29 May 1973, p. 9. The Times Digital Archive.",https://link.gale.com/apps/doc/CS152271037/TTDA?u=linc74325&sid=gale_api&xid=4a4122a1,GALE|CS152271037,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1973-MAY29-009']
Oversea Poetry.,,The Times,"January 24, 1918",41695,9,['Poetry'],"""Oversea Poetry."" Times, 24 Jan. 1918, p. 9. The Times Digital Archive.",https://link.gale.com/apps/doc/CS152111672/TTDA?u=linc74325&sid=gale_api&xid=98de2f66,GALE|CS152111672,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1918-JAN24-009']
African culture asserted after struggle,['Michael Crowder'],The Times,"July 22, 1976",59762,XIII,,"Crowder, Michael. ""African culture asserted after struggle."" Times, 22 July 1976, p. XIII. The Times Digital Archive.",https://link.gale.com/apps/doc/CS755465974/TTDA?u=linc74325&sid=gale_api&xid=d9d94ca6,GALE|CS755465974,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1976-JUL22-045']
A New Look In Writing,['W. E. G. LOUW'],The Times,"May 31, 1960",54785,xix,,"LOUW, W. E. G. ""A New Look In Writing."" Times, 31 May 1960, p. xix. The Times Digital Archive.",https://link.gale.com/apps/doc/CS655056575/TTDA?u=linc74325&sid=gale_api&xid=6997bd2f,GALE|CS655056575,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1960-MAY31-039']
Voice of the poets,,The Times,"September 13, 1965",56425,vii,"['Poets', 'Poetry']","""Voice of the poets."" Times, 13 Sept. 1965, p. vii. The Times Digital Archive.",https://link.gale.com/apps/doc/CS419916077/TTDA?u=linc74325&sid=gale_api&xid=48a8e29f,GALE|CS419916077,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1965-SEP13-025']
South African Poetry.,,The Times,"May 24, 1909",38967,56,['Poetry'],"""South African Poetry."" Times, 24 May 1909, p. 56. The Times Digital Archive.",https://link.gale.com/apps/doc/CS939718840/TTDA?u=linc74325&sid=gale_api&xid=eb39498d,GALE|CS939718840,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1909-MAY24-056']
Culture and politics travel forward hand in hand,['Kaye Whiteman'],The Times,"April 13, 1974",59063,VII,,"Whiteman, Kaye. ""Culture and politics travel forward hand in hand."" Times, 13 Apr. 1974, p. VII. The Times Digital Archive.",https://link.gale.com/apps/doc/CS520452749/TTDA?u=linc74325&sid=gale_api&xid=7d668131,GALE|CS520452749,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/0FFO-1974-APR13-031']
Africa on Record,"['Maurice Bowra', 'M. BOWRA']",The Times Literary Supplement,"June 11, 1964",3250,501,"['Oxford University Press (Oxford, England)']","Bowra, Maurice, and M. BOWRA. ""Africa on Record."" The Times Literary Supplement, no. 3250, 11 June 1964, pp. 501+. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200333113/TLSH?u=linc74325&sid=gale_api&xid=a7580d01,GALE|EX1200333113,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1964-0611-0001', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1964-0611-0002']"
Remainders,['Eric Korn'],The Times Literary Supplement,"August 23, 1985",4299,924,,"Korn, Eric. ""Remainders."" The Times Literary Supplement, no. 4299, 23 Aug. 1985, p. 924. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200168085/TLSH?u=linc74325&sid=gale_api&xid=9b63bdbd,GALE|EX1200168085,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1985-0823-0012']
Red island rocks,['David Sweetman'],The Times Literary Supplement,"November 1, 1985",4309,1243,,"Sweetman, David. ""Red island rocks."" The Times Literary Supplement, no. 4309, 1 Nov. 1985, p. 1243. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200448104/TLSH?u=linc74325&sid=gale_api&xid=1a844211,GALE|EX1200448104,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1985-1101-0023']
The music of Milan,['Peter Robinson'],The Times Literary Supplement,"July 19, 1996",4868,11,,"Robinson, Peter. ""The music of Milan."" The Times Literary Supplement, no. 4868, 19 July 1996, p. 11. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200483321/TLSH?u=linc74325&sid=gale_api&xid=a95ea804,GALE|EX1200483321,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1996-0719-0011']
Specialist issues,"['David Carlton', 'Sidney Bloch', 'Roy Porter', 'Richard King', 'Dennis Walker', 'Brian Lee']",The Times Literary Supplement,"November 20, 1987",4416,1292,,"Carlton, David, et al. ""Specialist issues."" The Times Literary Supplement, no. 4416, 20 Nov. 1987, pp. 1292+. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200453233/TLSH?u=linc74325&sid=gale_api&xid=9550435a,GALE|EX1200453233,NewsPaper,"['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1987-1120-0028', 'https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1987-1120-0029']"
In Brief,['Peter Reading'],The Times Literary Supplement,"December 13, 2002",5202,30,,"Reading, Peter. ""In Brief."" The Times Literary Supplement, no. 5202, 13 Dec. 2002, p. 30. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200511987/TLSH?u=linc74325&sid=gale_api&xid=2b39bd47,GALE|EX1200511987,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-2002-1213-0030']
A World of Riches,['Donald MacRae'],The Sunday Times,"April 13, 1975",7922,40,,"MacRae, Donald. ""A World of Riches."" Sunday Times, 13 Apr. 1975, p. 40. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1801546759/STHA?u=linc74325&sid=gale_api&xid=08d69589,GALE|FP1801546759,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-1975-0413-0040']
One man's map,['Neil Berry'],The Times Literary Supplement,"May 11, 1984",4232,526,,"Berry, Neil. ""One man's map."" The Times Literary Supplement, no. 4232, 11 May 1984, p. 526. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200444905/TLSH?u=linc74325&sid=gale_api&xid=c4ae282c,GALE|EX1200444905,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1984-0511-0018']
Radio,,The Sunday Times,"August 25, 2002",9287,61[S8],,"""Radio."" Culture. Sunday Times, 25 Aug. 2002, p. 61[S8]. The Sunday Times Historical Archive.",https://link.gale.com/apps/doc/FP1801603887/STHA?u=linc74325&sid=gale_api&xid=f042742d,GALE|FP1801603887,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/STHA-2002-0825-0235']
Heinemann Educational Books,,The Times Literary Supplement,"October 13, 1978",3993,1149,,"""Heinemann Educational Books."" The Times Literary Supplement, no. 3993, 13 Oct. 1978, p. 1149. The Times Literary Supplement Historical Archive.",https://link.gale.com/apps/doc/EX1200426136/TLSH?u=linc74325&sid=gale_api&xid=b35b20a9,GALE|EX1200426136,NewsPaper,['https://callisto.ggsrv.com/imgsrv/FastFetch/UBER2/TLSH-1978-1013-0017']
