Id,unique_id,Article title,Document type,Content type,Article Date,Publication,Source page no,Source link,Gale ID,Source access date,Archive,Excerpt,Permissions
A World of Riches (1975-04-13),apdp.cite.000188,A World of Riches,Book Review,Newspaper,1975-04-13,The Sunday Times,p. 40,https://link.gale.com/apps/doc/FP1801546759/GDCS?u=linc74325&sid=GDCS&xid= d1cf57c7. ,GALE|FP1801546759,2019-12-17,"""The Sunday Times Historical Archive,""","Putting novels, plays, verse, essays and so on into literary categories is an important but not very impressive exercise. It matters because the written word is so huge, various, and surprising that some sort of mark is needed for tourists--and we are all tourists. But one category that does not work is that of ""black African literature."" Africa is too rich and too varous for that box to hold very much...",© Times Newspapers Limited.
One man's map (1984-05-11),apdp.cite.000189,One man's map,Book Review,Newspaper,1984-05-11,The Times Literary Supplement,p. 526, https://link.gale.com/apps/doc/EX1200444905/GDCS?u=linc74325&sid= GDCS&xid=fe2a9e93. ,GALE|EX1200444905,2019-12-17,"""The Times Literary Supplement Historical Archive,""","It is becoming unusual for reference books to be content simply to dispense information: often nowadays they are also intended to stimulate. Harry Blamires, in his introduction to A Guide to Twentieth Century Literature in English, discloses that he and his two fellow compilers have been free with their opinions, in the belief, it seems, that an unopinionated guide might put readers to sleep. Yet a book like this, encyclopedic in form, is more likely to be consulted than read, and it might be felt that utility rather than readability ought to have been teh primary concern...As the survey approaches the present, its drawing o the literary map--at least of the British one--becomes very crude indeed. A. N. Wilson is in, but not William Boyd, Malcom Bradmury is there but not David Lodge... Is Okot p'Bitek Uganda's sole literary contender? The editor has attempted the impossible with too little assistance and, struggling to be both authoritative and diverting, has ended up with a book which will satisfy few readers.",
Radio: Radio 4 (2002-08-25),apdp.cite.000190,Radio: Radio 4,Radio Schedule,Newspaper,2002-08-25,The Sunday Times,p. 61[S8], https://link.gale.com/apps/doc/FP1801603887/GDCS? u=linc74325&sid=GDCS&xid=1a0ed9a6,GALE|FP1801603887,2019-12-17,"""The Sunday Times Historical Archive,""",4.30 (FM) Into Africa. Poetry from writers including Okot p'Bitek and Jack Mapanje.,© Times Newspapers Limited.
Heinemann Educational Books: African Writers Series (1978-10-13),apdp.cite.000191,Heinemann Educational Books: African Writers Series,Advertisement,Newspaper,1978-10-13,The Times Literary Supplement,p. 1149, https://link.gale.com/apps/doc/EX1200426136/GDCS?u= linc74325&sid=GDCS&xid=e60ed9de,GALE|EX1200426136,2019-12-17,"""The Times Literary Supplement Historical Archive,""", - ,
Change from below (1992-03-27),apdp.cite.000192,Change from below,Critical Article,Newspaper,1992-03-27,The Times Literary Supplement,p. 14, https://link.gale.com/apps/doc/EX1200466140/GDCS?u=linc74325&sid=GDCS&xid=a1ae5d30. ,GALE|EX1200466140,2019-12-17,"""The Times Literary Supplement Historical Archive,""","The determination of many autocratic rulers of independent African countries to limit freedom of expression has stunted intellectual development within their countries, degraded the quality of debate on national issues and forced many of Africa's most gifted writers into exile. In some cases, exile has nurtured creativity, giving writers the political space to reveal the disparity between official rhetoric and reality. But to many it has not been kind... Okot P'Bitek, the Ugandan poet, is not the only one who, lacking a connection to the society he longed to write about, drank himself to death... In some instances, though, the elaborate repressive apparatus of the state has stimulated creativity by compelling writers to develop subtle and imaginative ways of bypassing censorship. Jack Mapanje, Malwai's best-known poet, who was released in May last year after three-and-a-half years' detention without charge or trial, believes that the draconian measures taken by the Malawi Censorship Board may have inadvertently caused him to write better poems. However, another Malawian poet, Frank Chipasula, found that fear of informants took a heavy toll on his work...",
News in Brief: Verdict date on Ghanaian poet (1976-10-09),apdp.cite.000193,News in Brief: Verdict date on Ghanaian poet,News Report,Newspaper,1976-10-09,The Times,p. 5,https://link.gale.com/apps/doc/CS85294921/GDCS?u=linc74325&sid=GDCS&xid=10b68773,GALE|CS85294921,2019-12-17,The Times Digital Archive,"The special court trying Dr. Kofi Awoonor, the Ghanaian poet, on charges of subversion is to give judgment on October 29, it was announced today. Dr. Awoonor has denied harbouring Brigadier Kojo Kattah, a former Army officer wanted in connexion with an abortive bid to overthrow General Ignatius Acheampong's Government last year. [Full text.]",© Times Newspapers Limited.
Ghana refuses visa for trial observer (1976-08-25),apdp.cite.000194,Ghana refuses visa for trial observer,News Report,Newspaper,1976-08-25,The Times,p. 4,https://link.gale.com/apps/doc/CS69697305/GDCS?u=linc74325&sid= GDCS&xid=a51e1a50,GALE|CS69697305,2019-12-17,The Times Digital Archive,"""By Our Foreign Staff. The Ghana Government has cancelled a visa that it had issued to Sir Osmond Williams, a Welsh magistrate, who is a member of the executive comittee of the British branch of Amnesty International, to enable him to attend the trial of Dr. Kofi Awoonor, the Ghanaian poet, on trial for concealment of subversion. Dr. Awoonor is accused of sheltering a conspirator involved in a plot to overthrow Ghana's military regime. Three soldiers and two civilians were sentenced to death by a military tribunal at the end of last month for taking part in the alleged conspiracy.",© Times Newspapers Limited.
A is for Art (1972-03-24),apdp.cite.000195,A is for Art,Book Review,Newspaper,1972-03-24,The Times Literary Supplement,p. 325,https://link.gale.com/apps/doc/EX1200534529/GDCS?u=linc74325&sid= GDCS&xid=46481c28,GALE|EX1200534529,2019-12-17,"""The Times Literary Supplement Historical Archive,""","[From the book reviewer, unnamed]: ""Among the enemies of promise now confronting African literature it is possible to include the American university. Kofi Awoonor is a learned Ghanaian poet with an evident gift for narrative (when he chooses to exercise it) and he ought to be a good novelist...All this is fascinating: and the sketches add up to a mysterious but not wholly opaque portrait of Amamu and an account of his disintegration. There is no doubt that Kofi Awoonor could write a very good novel."" ",
Ghana military grant pardon to jailed poet (1976-10-28),apdp.cite.000196,Ghana military grant pardon to jailed poet,News Report,Newspaper,1976-10-28,The Times,p. 9,https://link.gale.com/apps/doc/CS151617372/GDCS?u=linc74325&sid=GDCS&xid=b75759d0. ,GALE|CS151617372,2019-12-17,The Times Digital Archive,"[Full Text] Ghana's ruling Supreme Military Council has granted a pardon to Dr. Kofi Awoonor, the Ghanaian poet and university lecturer, who was sent to prison for a year last Wednesday, the Ghana News Agency reported. He had been convicted of aiding the escape of Brigadier Alphonse Kattah, who is alleged to have instigated an abortive coup last year. Dr. Awoonor who was arrested last December, denied the charge. An official statement said that Dr. Awoonor was expected to return to the Cape Coast university in the next two weeks.",© Times Newspapers Limited.
Dr. Muller arrives in Madagascar to sign 1.3m loan pact (1970-11-20),apdp.cite.000197,Dr. Muller arrives in Madagascar to sign 1.3m loan pact,News Report,Newspaper,1970-11-20,The Times,p. 9,https://link.gale.com/apps/doc/CS151221108/GDCS?u=linc74325&sid= GDCS&xid=5fb8a5b0,GALE|CS151221108,2019-12-17,The Times Digital Archive,"""A South African delegation of 20, led by Dr. Hilgard Muller, the Foreign Minister, arrived in Tananarive by air from Johannesburg today to sign an economic agreement with the Malagasy Republic and for talks with Government leaders. Under the agreement South Africa will lend Madagascar the equivalent of 1,350,000--repayable over 25 years--to develop its tourist industry... In reply, Mr. Jacques Rabemananjara, the Malagasy Vice-President and Minister of Foreign and Social Affairs, expressed the opinion that Dr. Muller's visit would break down the wall of prejudice that existed between Madagascar and South Africa...""",© Times Newspapers Limited.
Dr. Muller signs Madagascar loan agreement (1970-11-21),apdp.cite.000198,Dr. Muller signs Madagascar loan agreement,News Report,Newspaper,1970-11-21,The Times,p. 4,https://link.gale.com/apps/doc/CS68645749/GDCS?u=linc74325&sid=GDCS&xid=a0889a67.,GALE|CS68645749,2019-12-17,The Times Digital Archive,"[Full Text] The first economic accords ever reached between South Africa and the Malagasy Republic were signed in Tananarive this afternoon. Under the agreements Madacasgar will receive a loan equivalent to 1,350,000. The accords were signed by Vice-President Jacques Rabemananjara and Dr. Hilgard Muller, the South African Foreign Minister, who is heading a delegation of 20 on a three-day visit to the Malagasy Republic. Dr. Muller last night assured the people of Madagascar that they would be warmly welcomed if they visited South Africa. Today South African experts in atomic energy, agriculture, cultural relations, broadcasting, and tourism were having talks with their Malagasy counterparts.",© Times Newspapers Limited.
News in Brief: Tananarive still wants US Link (1971-06-28),apdp.cite.000199,News in Brief: Tananarive still wants US Link,News Report,Newspaper,1971-06-28,The Times,p. 6, https://link.gale.com/apps/doc/CS102069468/GDCS?u=linc74325&sid=GDCS&xid=903abbd0,GALE|CS102069468,2019-12-17,The Times Digital Archive,"[Full Text] Mr. Jacques Rabemananjara, the Malagasy Foreign Minister, said today that his country still wanted good relations with the United States, but they ""can only be based on complete confidence in the staff of the embassy."" The State Department on Friday announced that it was withdrawing its ambassador in Tananarive as a protest at accusations that the embassy had interfered in Malagasy internal affairs. Mr. Anthony Marshall, the Ambassador, had earlier worked for the Central Intelligence Agency.",© Times Newspapers Limited.
The Times Diary: Envoy steps into gap (1967-09-28),apdp.cite.000200,The Times Diary: Envoy steps into gap,News Report,Newspaper,1967-09-28,The Times,p. 6,https://link.gale.com/apps/doc/CS101412124/GDCS?u=linc74325&sid=GDCS&xid=3a28dc06,GALE|CS101412124,2019-12-17,The Times Digital Archive,"""The Malagasy Republic's ambassador in London, Mr. Jules Razafimbahiny, 46, is being called back to help fill the gap caused by the death of the Malagasy Foreign Minister, Dr. Albert Sylla, in an air crash in Madagascar last month. Mr. Razafimbahiny is to become Deputy Minister of Foreign Affairs, the senior position going to the Minister of Agriculture, Mr. Jacques Rabemananjara, who is also a poet of note and was imprisoned by the French in France following the insurrection of 1947...",© Times Newspapers Limited.
Reclaiming the mother tongue (1987-05-08),apdp.cite.000201,Reclaiming the mother tongue,Book Review,Newspaper,1987-05-08,The Times Literary Supplement,p. 499,https://link.gale.com/apps/doc/EX1200171584/GDCS?u= linc74325&sid=GDCS&xid=4d3e0437,GALE|EX1200171584,2019-12-17,"""The Times Literary Supplement Historical Archive,""","[Chinweizu reviews ""Decolonizing the Mind,"" a book by Ngugi wa Thiong'o.] ""...Even in colonial days, Africans wrote literary works in African langauges. But such works have always remained outside the maistream of official culture. Among Africa's post-independence writers, several others preceded Ngugi in writing in their mother tongues. The best known of these was the late Okot p'Bitek whose works, including his famous Song of Lawino, were composed in Acholi, and then translated by him into English.""",
"Unfettered, Unfree (1967-02-16)",apdp.cite.000202,"Unfettered, Unfree",Book Review,Newspaper,1967-02-16,The Times Literary Supplement,p. 125,https://link.gale.com/apps/doc/EX1200145450/GDCS?u=linc74325&sid=GDCS&xid=095f28b5,GALE|EX1200145450,2019-12-17,"""The Times Literary Supplement Historical Archive,""","[Gerald Moore reviews 'Song of Lawino']: ""Out of the grasslands of Northern Uganda comes a new voice in African poetry. It is a voice whose innate sophistication is controlled by compassion and understanding, so that the poet can quite simply lend it to an illiterate woman whose circle might otherwise be confined to the village well and the dancing arena... Mr. Okot's poem was originally composed in Lwo, the language of the Acoli people. Much of its imagery is rooted in their traditional songs of love, war, victory, and death. In rewriting his poem in English he has chosen a strong, simple idiom which preserves the sharpness and frankness of this imagery, a structure of short, free verses which flow swiftly and easily, and an uncondescending offer of all that is local and specific in the original... Inevitably lost is the pattern of rhyme, assonance and tonal variation offered by the vernacular. In the poet's own words, he has 'clipped a bit of the eagle's wings'. But what survives is enough to offer one of the most varied and exciting contributions yet made to English poetry in Africa.""",
What's good for the Luo (1977-02-18),apdp.cite.000203,What's good for the Luo,Book Review,Newspaper,1977-02-18,The Times Literary Supplement,p. 186,https://link.gale.com/apps/doc/EX1200417417/GDCS? u=linc74325&sid=GDCS&xid=00e5987d,GALE|EX1200417417,2019-12-17,"""The Times Literary Supplement Historical Archive,""","[Godfrey Lienhardt reviews Traditional Ideology and Ethics among the Southern Luo]: ""President Kenyatta's account of teh customs and values of the Kikuyu, Facing Mount Kenya, published in 1938 with an appraisal from Malinowski, is probably the best-known study of his own people in English by an African. It has been followed by many others, including several by writers coming from peoples akin to the Southern Luo, notably the historian Professor B. A. Ogot, the Acholi poet Okot p'Bitek, Dr. F. M. Deng and now A. B. C. Ochalla-Ayayo. Like Kenyatta, these later writers have been absorbed from childhood the languages and interests of their homelands, and returned to reflect on them in the light of wider anthropological knowledge.""",
"Akamba, Yoruba, Swahili (1967-03-23)",apdp.cite.000204,"Akamba, Yoruba, Swahili",Book Review,Newspaper,1967-03-23,The Times Literary Supplement,p. 244,https://link.gale.com/apps/doc/EX1200146235/GDCS?u=linc74325&sid=GDCS&xid=f7176dac,GALE|EX1200146235,2019-12-17,"""The Times Literary Supplement Historical Archive,""","[Ulli Beier reviews two books, Thet Content and Form of Yoruba Ijala by S. A. Babalola and Poems from Kenya by Ahmad Nassir bin Juma Bhalo.] ""The editors of the Oxford Library of African Literature hope that 'compositions in local languages will make their impact on world literature as those of India and China have done for many years.' It is not likely that this series--nine volumes have so far appeared--will make much impact ont he literary world.... To make African literature come alive in English is a formidable task. But it can be done, as was proved by Ugandan poet Okot p'Bitek, whose brilliant translation of his own original Acholi poem Song of Lawino was reviewed in the TLS of February 16.""",
Black man's burden (1981-11-06),apdp.cite.000205,Black man's burden,Book Review,Newspaper,1981-11-06,The Times Literary Supplement,p. 1310,https://link.gale.com/apps/doc/EX1200435467/GDCS?u=linc74325&sid= GDCS&xid=400df95c. Accessed ,GALE|EX1200435467,2019-12-17,"""The Times Literary Supplement Historical Archive,""","[Niven reviews Towards the Decolonization of African Literature] ""Toward the Decolonization of African Literature is dedicated to thirty-three Third World intellectuals, ""expemplary inciters against toleration of our oppressed condition... The main accusation levelled here is that European critics have attempted to annex African literature for themselves. If a book is written in English or French then it is seen as a by-product or subdivision of the Great Tradition, of Modernism, or of some other beautified cultural monolith... They defend African orature against its alleged deficiencies in characterization and range of expression, and witheringly expose the pretensions of European critics who half get the point and so miss it by miles--in, for example, comparing the brevity of many African novels with oral tales... Toward the Decolonization of African Literature is not a pioneer study but it articulates a point of view which is increasingly heard among African critics and which has not previously been marshalled with so much damning quotation. It restores to literary criticism a brio, verging at times on insult, which is rare in Western criticism, where so often genteel irony or theoretical contortions are substituted for plain-spoken assertion of a fully held point of view. Also, the book is fundamentally right...""",
From recent issues (1978-06-16),apdp.cite.000206,From recent issues,Book Review,Newspaper,1978-06-16,The Times Literary Supplement,p. 679,https://link.gale.com/apps/doc/EX1200157619/GDCS?u=linc74325&sid=GDCS&xid=2a5456cc,GALE|EX1200157619,2019-12-17,"""The Times Literary Supplement Historical Archive,""","[Full Text] In issue number 10 Okike: An African Journal of New Writing, edited by Chinua Achebe, announced its return from the United States to Nigeria after an absence of four years. The issue is focused mainly on writing from eastern Africa, with contributions by Kenyans (Malusu Jose, Taban Lo Liyong, Stephen Ndichu, Barry Odour-Otieno, J. A. Opiche, Osotsi), Ugandans (Okot P'Bitek, Peter Nazareth), and a Somali (Abdi Sheik-Abdi). There are also items from other parts of the world, including poems by Andrew Salkey, and an instalment of Ezekiel Mphahlele's ""Notes from the Black American World"", entitled ""Images of Africa in Afro-American Literature"". Traditional oral narrative styles, as in Sheik-Abdi and P'Bitek, jostle the contemporary verse libre of Salkey and Ndichu. This combination is to be found also in the eleventh issue of Okike, which is devoted largely to writing by South Africans, including Don Mattera, Zulu Molefe, and Oswald Mtshali. Okike is handsomely designed and produced and the contents are impressive evidence of the range and vitality of African letters today.",
In the Arms of the Prison (1971-11-05),apdp.cite.000207,In the Arms of the Prison,Book Review,Newspaper,1971-11-05,The Times Literary Supplement,p. 1382,https://link.gale.com/apps/doc/EX1200376623/GDCS?u=linc74325&sid=GDCS&xid=bc8bafd2,GALE|EX1200376623,2019-12-17,"""The Times Literary Supplement Historical Archive,""","[Excerpt, Gerald Moore reviews 'Song of Prisoner, Song of Malaya.'] Since his celebrated Song of Lawino some four years ago, great interest has focused upon Okot p'Bitek's success in developing an East African poetic diction in English whose form, imagery, and points of reference are derived entirely from a vernacular original. The first successor to Lawino, Okot's Song of Ocol, was a disappointment, for it savoured too much of a conscientious attempt to give a voice to an essentially dull, pompous, and vindictive husband. But it was interesting to trace Okot's influence in the work of another Acoli writer, Okello Oculi, whose Orphan offered some passages of real bitterness and power...The impact of the second song is weakened by a slight sentimentalizing of the all-knowing, all-suffering harlot; yet here too Okot uses his new poetic language to induce the reader's sympathy to flow into strange places and to illuminate the corners of hidden lives. His songs are certainly one of the most original and important departures in the poetry of Africa today.""",
Mr Okot p'bitek: Poet and commentator on African culture (1982-07-23),apdp.cite.000208,Mr Okot p'bitek: Poet and commentator on African culture,Obituary,Newspaper,1982-07-23,The Times,p. 12,https://link.gale.com/apps/doc/CS203786999/GDCS?u=linc74325&sid=GDCS&xid=177bc5be,GALE|CS203786999,2019-12-17,The Times Digital Archive,"[Excerpt, Obituary] ""Mr Okot p'Bitek, Uganda's best known poet and a trenchant commentator upon contemporary culture in Africa, died on July 19. He was born in 1931 at Gulu in Acholiland Uganda, the son of a teacher...As a result his first major English language work, Song of Lawino (1966) blended modern satirical ironies into a verse form approximating to traditional Acholi poetry, a technique achieved by the author translating his own work into English from its vernacular. The related Song of Ocol, followed in 1970, with Song of Prisoner and Song of Malaya jointly winning the 1972 Kenyatta Prize for Literature. Okot's commitment to Acholi poetry and music is partly explained in the Horn of My Love (1974), a miscellany of poems in two languages with accompanying commentary...""",© Times Newspapers Limited.
Literature: Critics in each other's bad books (1977-01-18),apdp.cite.000209,Literature: Critics in each other's bad books,Critical Article,Newspaper,1977-01-18,The Times,p. IV,https://link.gale.com/apps/doc/CS503676978/GDCS?u=linc74325&sid=GDCS&xid=08650e6a,GALE|CS503676978,2019-12-17,The Times Digital Archive,"Alastair Niven reviews the growth of African literature in recent years [excerpt]: ""More than 10 years ago Eldred Jones, a leading critic of African literature, compared the flowering of creative writing then evident in Africa to the brilliant burst of imaginative energy in English literature between 1590 and 1610... Even works which seem to honour African history with some straightforwardness, like Chinua Achebe's Things Fall Apart (1958), have hinted at interior weaknesses in the local personality which have been forewarnings of dissensions to come in the heyday of colonialism and of corruptions after independence... Ten years ago people argued whether Graham Greene's The Heart of the Matter could be considered an African novel. Now they battle over the aesthetic criteria for evaluating literature which does not need to look to Europe for its legitimacy. Elizabethan England was ride with critical disputes and pamphleteering wars. The literature of Africa will not suffer if the same happens here."" ",© Times Newspapers Limited.
Apartheid and Sport: The Logic of Denis Howell's Approach (1969-10-21),apdp.cite.000211,Apartheid and Sport: The Logic of Denis Howell's Approach,News Report,Newspaper,1969-10-21,Financial Times,p. 22, https://link.gale.com/apps/doc/HS2302907917/GDCS? u=linc74325&sid=GDCS&xid=61b30ab3,GALE|HS2302907917,2019-12-17,Financial Times Historical Archive,"""If the Minister for Sport, Mr. Denis Howell, has his way we will be deprived next year of the opportunity of seeing the South African cricket team in action. Choosing his words with care, Mr. Howell said in a television interview at the week-end: 'I personally don't think the South African team should come. I Have no time for sport based on racial considerations. Their sport certainly is, and the selection of their team certainly is."" ...By this I mean far more than the cancellation of the New Zealand rugby tour in 1964, or the fiasco over the MCC tour last year. I could take the story back as far as 1956, when the International Table Tennis Federation excluded from membership the all-white official South African Table-Tennis Association in favour of an unofficial group whose rules allowed ping-pong across the colour line. But it is best to begin with 1962, when the ""South African non-racial Open Committee for Olympic Sports""--Sanroc--was formed. This group worked originally inside the Republic but it has since exiled itself to London since its president, Denis Brutus, left his home country in 1966 after a 22-month term served mostly on Robben Island..."" ",© The Financial Times Limited. All rights reserved.
These tarnished Olympics (1976-07-25),apdp.cite.000212,These tarnished Olympics,News Report,Newspaper,1976-07-25,The Sunday Times,p. 20,https://link.gale.com/apps/doc/FP1802369580/GDCS?u=linc74325&sid=GDCS&xid=6c9454e4,GALE|FP1802369580,2019-12-17,"""The Sunday Times Historical Archive,""","[Excerpt]: ""If anyone does not believe the repercussions of apartheid stretch far and wide, they should be present at the 1976 Montreal Olympics, where it has tarnished the Games as they have never been before. One only had to see last week a departing team from Afria waiting with their baggage for transport to the airport...Everywhere was a feeling of sadness and futility... This was a seminar organised by the United Nations Special Committee Against Apartheid and held in Havana, attended by 200 delegates including the crucial nucleus of leading African sports officials and SAN-ROC. It was at this stage that Dennis Brutus, the president of SAN-ROC, a professor of English in the African Studies Department at the Northwest University of Illinois, threw his own acknowledged ability and experience and that of SAN-ROC unequivocally behind the African protest. Brutus, an exiled coloured South African, who was imprisoned in South Africa as a result of his views on apartheid, was portrayed in oarts of the British and foreign Press last week as a somewhat sinister figure. Yet, it is he who turned to de Broglio in Havana to say: 'If they (the African countries) are prepared to go through all this--which is much more than we would ever ask--who are we to quarrel? We're with them.'"" ",© Times Newspapers Limited.
Inside track (1971-02-28),apdp.cite.000213,Inside track,News Report,Newspaper,1971-02-28,The Sunday Times,p. 22, https://link.gale.com/apps/doc/FP1801045809/GDCS?u=linc74325&sid=GDCS&xid=bca8e268,GALE|FP1801045809,2019-12-17,"""The Sunday Times Historical Archive,""","[Full text]: ""A REPORT from South Africa yesterday that a new non-white sports committee has been formed to work together with the existing white South African Olympic and National Games Association (SAONGA) towards the country's fight for re-entry to the Olympics, was received with surprise and disappointment by anti-apartheid leaders in Britain. Denis Brutus, president of the South African Non-racial Open Comittee for Olympic Sports (SANROC) characterised the move as a blow to black South Africans who want multi-racial sport. There are two black sports groups in South Africa--those who agree with SAONGA president Frank Braun's proposals for organised separate black and white sports activities; and those who will not negotiate on any basis other than multi-racial sport. 'I am afraid,' says Brutus, 'that this means that the first group have agreed to co-operate with Mr Braun on what amounts to an apartheid platform.' Indeed, two members of the black group seeking multi-racial sport have been interrogated by special branch officers, adds Brutus. SANROC are retaliating by lifting their own restrictions on protests against individual athletes and officials as opposed to white South African teams.""",© Times Newspapers Limited.
Mr Hain aims for Springboks' Achilles heel (1969-11-09),apdp.cite.000214,Mr Hain aims for Springboks' Achilles heel,News Report,Newspaper,1969-11-09,The Sunday Times,p. 24,https://link.gale.com/apps/doc/FP1801683575/GDCS?u=linc74325&sid=GDCS&xid= d5e19721.,GALE|FP1801683575,2019-12-17,"""The Sunday Times Historical Archive,""","[Excerpt]: ""SUPPORT has snowballed beyond our wildest dreams,' says Peter hain, 19-year-old chairman of the Stop the Seventy Tour Committee formed recently to co-ordinate opposition, to next year's visit to Britain of the South African cricket team but now in the thick of the furore over the current Springbok rugger tour... It was through Denis Brutus, black South African president of SANROC (the South African Non-Racial Olympic Committee) that Hain met 22-year old Hugh Geach, a Reading University student in Soil Science who is now honorary secretary of STST. Brutus is one of the few activists now hounding the Springboks with first-hand knowledge of het grim realities of Apartheid...""",© Times Newspapers Limited.
Catalogue of the ridiculous (1975-07-02),apdp.cite.000215,Catalogue of the ridiculous,News Report,Newspaper,1975-07-02,The Times,p. 11,https://link.gale.com/apps/doc/CS185433314/GDCS?u=linc74325&sid=GDCS&xid=9c7c7575. ,GALE|CS185433314,2019-12-17,The Times Digital Archive,"[Excerpt] ""I have just spent a strange morning in a library. It was the reference section of the Johannesburg Municipal Library: I had entered, handed over my straw bag in exchange for for a disc, made my request to a solicitously attentive woman at the inquiry counter, followed her to a glass fronted case, waited while she unlocked it and removed a large, loose-leafed volume for me. Now I sat down among the other users of the library... My book was Jacobsen's Index of Objectionable Literature, a publication launched a few years ago by an enterprising man who realized that there was money to be made by collating and publishing in book-form the weekly list of South African censors' bannings... Most titles my finger was running down, page after page, were banned by the old Publications Control board, before April. They constitute virtually the entire oeuvre of black South African fiction writers, essayists and some poets, including Lewis Nkosi, Ezekiel Mphahlele, and Denis Brutus, and such individual works by myself, Dan Jacobson, Jack Cope, Mary Benson, C. J. Driver, Andre Brink, and other white South Africans..."" ",© Times Newspapers Limited.
Domestic Situations: Exhibitions and Lectures (1970-07-24),apdp.cite.000216,Domestic Situations: Exhibitions and Lectures,Advertisement,Newspaper,1970-07-24,The Times,p. 17,https://link.gale.com/apps/doc/CS285438712/TTDA?u=linc74325&sid=TTDA&xid=a49d8380,GALE|CS285438712,2019-12-17,The Times Digital Archive,"[Full Text]: ""ICA Special poetry reading, July 29, 8 p.m. JANOS PILINSZKY, TED HUGHES, CAROLYN KIZER & DENIS BRUTUS. Bookable 930 6393 Nash House. The Mall. S. W. t. open daily 11-10.30.""",© Times Newspapers Limited.
Monteal and Denver Chosen: North America scoops Olympics pool (1970-05-13),apdp.cite.000217,Monteal and Denver Chosen: North America scoops Olympics pool,News Report,Newspaper,1970-05-13,The Times,p. 14,https://link.gale.com/apps/doc/CS235893421/GDCS?u=linc74325&sid= GDCS&xid=49748c25,GALE|CS235893421,2019-12-17,The Times Digital Archive,"[Excerpt]: ""North America scooped the pool when the voting took place here tonight for the 1976 Olympic Games. The summer sports are to be held in Montreal and the winter variety at Denver, Colorado. The choice of Montreal was greeted with volleys of applause, that for Denver with squeals of surprise... The case for South Africa's expulsion from the movement is to be put to the International Olympic Committee (I.O.C.) this week, probably on Friday, by Jean-Claude Ganga (Congo) and Abram Ordia (Nigeria), respectively secretary-general and president of the Supreme Council for Sport in Africa, a body embracing 19 countries. The South African National Olympic Committee, headed by Mr. Frank Braun, will have the right of reply, whereupon Mr. Ganga and Mr. Ordia will have a further 10 minutes to answer the case for the defense... The South African non-racial Open Committee for Olympic Sport (Sanroc) is here in force, but unavoidably without their guiding spirit, Mr. Denis Brutus, more immediately required in England with the cricket tour on the boil...""",© Times Newspapers Limited.
Non-whites harbour deep suspicion (1970-02-06),apdp.cite.000218,Non-whites harbour deep suspicion,News Report,Newspaper,1970-02-06,The Times,p. 14,https://link.gale.com/apps/doc/CS236155462/TTDA?u=linc74325&sid=TTDA&xid=9b02d37a,GALE|CS236155462,2019-12-17,The Times Digital Archive,"[Excerpt]: ""What I found most disheartening was the deep if understandable suspicion harboured by the non-white cricket authorities towards their white counterparts. It was as a result of this that they turned dow the South African Cricket Association's offer of about 25.000 to help them with their cricket.... A non-white team had just toured Kenya with considerable success and by doing well against Worrell's side they could have silenced, forever those who say that their cricketers are no good and that D'Oliveira is a flash in the pan. But the opportunity was missed. Since then the S.A.B.O.C. have suspended contact with SANROC. ""I know and like Denis Brutus,"" said one of them, ""but he sees in everything a political implication."" ...""",© Times Newspapers Limited.
18-Month Sentence on Brutus (1964-01-10),apdp.cite.000219,18-Month Sentence on Brutus,News Report,Newspaper,1964-01-10,The Times,p. 9, https://link.gale.com/apps/doc/CS151873066/GDCS?u=linc74325&sid= GDCS&xid=5daec6da,GALE|CS151873066,2019-12-17,The Times Digital Archive,"[Full Text]: ""Denis Vincent Brutus, president of the South African Non-Racial Olympic Committee, was sentenced to 18 months imprisonment today by a Johannesburg magistrate on four charges of contravening a banning order and one of escaping from custody. Brutus was the centre of a diplomatic incident last September after he was shot down in a busy Johannesburg street by a police warrant officer as he made a dash for freedom. Brutus was banned and confined to the magisterial area of Johannesburg last year after his return from Europe where he had made representations about discrimination in Olympic teams. He broke his ban and went to Swaziland from where he intended to return to Europe to approach Olympic headquarters in Switzerland, but after crossing the border into Mozambique he was arrested by Portuguese secret police and returned to South Africa. Brutus said at the time and repeated in court today, while pleading in mitigation of sentence, that he had had a valid Rhodesian Federation passport. During the diplomatic row at that time Pretoria submitted that Brutus was a South African citizen. The magistrate ruled that Brutus's contention that his escape bid was made to draw attention to his situation was not altogether valid, but the court would take into account that he had been wounded, which was a partial penalty for his offence. ",© Times Newspapers Limited.
